team,team_id
San Jose St. Spartans,630
Santa Clara Broncos,631
Seattle U Redhawks,1356
Seton Hall Pirates,635
Siena Saints,639
South Alabama Jaguars,646
South Carolina Gamecocks,648
South Carolina St. Lady Bulldogs,647
South Dakota Coyotes,650
South Dakota St. Jackrabbits,649
South Fla. Bulls,651
Southeast Mo. St. Redhawks,654
Southeastern La. Lady Lions,655
Southern California Trojans,657
Southern Ill. Salukis,659
Southern Ind. Screaming Eagles,661
Southern Miss. Golden Eagles,664
Southern U. Lady Jaguars,665
Southern Utah Thunderbirds,667
St. Bonaventure Bonnies,596
St. John's (NY) Red Storm,603
St. Thomas (MN) Tommies,620
Stanford Cardinal,674
Stetson Hatters,678
Stonehill Skyhawks,682
Stony Brook Seawolves,683
Syracuse Orange,688
TCU Horned Frogs,698
Tarleton St. Texans,1395
Temple Owls,690
Tennessee Tech Golden Eagles,692
Tennessee Volunteers,694
Texas A&M Aggies,697
Texas Longhorns,703
Texas Southern Lady Tigers,699
Texas St. Bobcats,670
Texas Tech Red Raiders,700
"The Citadel Bulldogs, Cadets",141
Toledo Rockets,709
Towson Tigers,711
Troy Trojans,716
Tulsa Golden Hurricane,719
UAB Blazers,9
UAlbany Great Danes,14
UC Davis Aggies,108
UC Irvine Anteaters,109
UC Riverside Highlanders,111
UC San Diego Tritons,112
UC Santa Barbara Gauchos,104
UCF Knights,128
UCLA Bruins,110
UConn Huskies,164
UIC Flames,302
UIW Cardinals,2743
ULM Warhawks,498
UMBC Retrievers,391
UMass Lowell River Hawks,368
UNC Asheville Bulldogs,456
UNC Greensboro Spartans,459
UNCW Seahawks,460
UNI Panthers,504
UNLV Rebels,465
USC Upstate Spartans,10411
UT Martin Skyhawks,695
UTEP Miners,704
UTRGV Vaqueros,536
UTSA Roadrunners,706
Utah St. Aggies,731
Utah Tech Trailblazers,30095
Utah Utes,732
Utah Valley Wolverines,30024
VCU Rams,740
VMI,741
Valparaiso Beacons,735
Vanderbilt Commodores,736
Vermont Catamounts,738
Villanova Wildcats,739
Virginia Cavaliers,746
Virginia Tech Hokies,742
Wagner Seahawks,748
Wake Forest Demon Deacons,749
Washington Huskies,756
Washington St. Cougars,754
Weber St. Wildcats,758
West Virginia Mountaineers,768
Western Caro. Catamounts,769
Western Ill. Leathernecks,771
Western Ky. Lady Toppers,772
Western Mich. Broncos,774
William & Mary Tribe,786
Winthrop Eagles,792
Wisconsin Badgers,796
Wofford Terriers,2915
Wright St. Raiders,810
Wyoming Cowgirls,811
Xavier Musketeers,812
Youngstown St. Penguins,817
