team,team_id,url
Lincoln Memorial,603128,https://lmurailsplitters.com/sports/womens-soccer
Lock Haven,603054,https://www.golhu.com/sports/womens-soccer
Lubbock Christian,602993,https://lcuchaps.com/sports/womens-soccer
Lynn,602962,https://lynnfightingknights.com/sports/womens-soccer
MSU Denver,603058,https://roadrunnersathletics.com/sports/womens-soccer
MSU Moorhead,603132,
Malone,603066,https://malonepioneers.com/sports/womens-soccer
Mansfield,603055,
Mars Hill,603129,https://www.marshilllions.com/sports/wsoc/index
Mary,602978,https://tribeathletics.com/sports/womens-soccer
Maryville (MO),603056,https://maryvillesaints.com/sports/womens-soccer
McKendree,603067,https://mckbearcats.com/sports/womens-soccer
Menlo,603158,https://menloathletics.com/sports/womens-soccer
Mercy,603057,https://mercyathletics.com/sports/womens-soccer
Michigan Tech,603059,https://floridatechsports.com/sports/womens-soccer
Middle Georgia,617150,https://ungathletics.com/sports/womens-soccer
Midwestern St.,603130,https://msumustangs.com/sports/womens-soccer
Millersville,603060,https://millersvilleathletics.com/sports/womens-soccer
Minn. Duluth,603061,
Minn.-Crookston,602966,
Minnesota St.,603177,
Minot St.,602987,
Mississippi Col.,603062,https://cctigers.com/sports/womens-soccer
Missouri S&T,603063,https://minerathletics.com/sports/womens-soccer
Missouri Western,602945,
Mo. Southern St.,602944,
Mo.-St. Louis,603178,https://umsltritons.com/sports/womens-soccer
Molloy,603179,https://molloylions.com/sports/womens-soccer
Mont. St. Billings,603038,https://msubsports.com/sports/womens-soccer
Montevallo,603131,https://montevallofalcons.com/sports/womens-soccer
Mount Olive,603133,https://umotrojans.com/sports/womens-soccer
N.M. Highlands,602935,
Neb.-Kearney,603125,
Newberry,603134,https://newberrywolves.com/sports/womens-soccer
Newman,602973,https://newmanjets.com/sports/womens-soccer
North Georgia,602972,https://ungathletics.com/sports/womens-soccer
North Greenville,602947,https://nguathletics.com/sports/wsoc/index
Northeastern St.,602955,https://goriverhawksgo.com/sports/womens-soccer
Northern Mich.,603182,
Northern St.,603135,
Northwest Mo. St.,603076,
Northwest Nazarene,603136,https://nnusports.com/sports/womens-soccer
Northwestern Okla.,602994,
Northwood,603077,https://www.gonorthwood.com/sports/wsoc/index
Nova Southeastern,602965,https://nsusharks.com/sports/womens-soccer
Ohio Dominican,602983,https://ohiodominicanpanthers.com/sports/womens-soccer
Okla. Baptist,603002,https://cbulancers.com/sports/womens-soccer
Okla. Christian,602995,https://ccucougars.com/sports/womens-soccer
Ouachita Baptist,603186,https://obutigers.com/sports/womens-soccer
Pace,603078,
Palm Beach Atl.,602969,https://pbasailfish.com/sports/womens-soccer
Pitt.-Johnstown,603080,https://pittjohnstownathletics.com/sports/womens-soccer
Pittsburg St.,602926,
Point Loma,603181,https://plnusealions.com/sports/womens-soccer
Point Park,603160,https://pointparksports.com/sports/wsoc/index
Post,603137,https://posteagles.com/sports/womens-soccer
Purdue Northwest,603013,https://pnwathletics.com/sports/womens-soccer
Queens (NY),603081,https://queensknights.com/sports/womens-soccer
Quincy,603082,https://quhawks.com/sports/womens-soccer
Regis (CO),603083,https://regisrangers.com/sports/womens-soccer
Roberts Wesleyan,603072,https://robertsredhawks.com/sports/womens-soccer
Rockhurst,603138,https://rockhursthawks.com/sports/womens-soccer
Rogers St.,602996,https://rsuhillcats.com/sports/womens-soccer
Rollins,603084,https://rollinssports.com/sports/wsoc
Roosevelt,603159,https://rooseveltlakers.com/sports/womens-soccer
Saginaw Valley,603085,https://www.svsucardinals.com/sports/wsoc/index
Saint Anselm,603086,https://saintanselmhawks.com/sports/womens-soccer
Saint Leo,603088,https://saintleolions.com/sports/womens-soccer
Saint Martin's,603140,https://smusaints.com/sports/womens-soccer
Saint Michael's,603089,https://smcathletics.com/sports/womens-soccer
Salem (WV),602960,https://salemtigers.com/sports/womens-soccer
San Fran. St.,603090,https://sfstategators.com/sports/womens-soccer
Seattle Pacific,603091,https://spufalcons.com/sports/womens-soccer
Seton Hill,602975,https://athletics.setonhill.edu/sports/womens-soccer
Shaw,603012,https://shawbears.com/sports/womens-soccer
Shepherd,603166,https://shepherdrams.com/sports/womens-soccer
Shippensburg,603092,https://shipraiders.com/sports/womens-soccer
Shorter,602988,https://goshorterhawks.com/sports/womens-soccer
Simon Fraser,603180,https://athletics.sfu.ca/sports/womens-soccer
Sioux Falls,603064,https://uwrfsports.com/sports/womens-soccer
Slippery Rock,603093,https://rockathletics.com/sports/womens-soccer
Southern Conn. St.,603095,https://scsuowls.com/sports/womens-soccer
Southern N.H.,603073,https://snhupenmen.com/sports/womens-soccer
Southern Nazarene,602989,https://snuathletics.com/sports/womens-soccer
Southern Wesleyan,602998,https://swuathletics.com/sports/womens-soccer
Southwest Baptist,602931,https://www.sbubearcats.com/sports/womens-soccer
Southwest Minn. St.,602936,
Southwestern Okla.,602937,
Spring Hill,602997,https://shcbadgers.com/sports/womens-soccer
St. Cloud St.,603087,https://scsuhuskies.com/sports/womens-soccer
St. Edward's,603139,https://gohilltoppers.com/sports/womens-soccer
St. Mary's (TX),603141,https://rattlerathletics.com/sports/womens-soccer
St. Thomas Aquinas,603142,https://www.stacathletics.com/sports/wsoc/index
Stanislaus St.,603031,
Staten Island,602977,https://csidolphins.com/sports/womens-soccer
Sul Ross St.,602927,https://srlobos.com/sports/womens-soccer
Tampa,603096,https://www.tampaspartans.com/sports/wsoc/
Tex. A&M Int'l,602980,https://www.aicyellowjackets.com/sports/wsoc/index
Texas Woman's,603097,
Texas-Dallas,602928,https://utdcomets.com/sports/womens-soccer
Thomas More,603155,https://thomasmoresaints.com/sports/womens-soccer
Tiffin,603143,https://www.gotiffindragons.com/sports/wsoc/index
Trevecca Nazarene,602967,https://tnutrojans.com/sports/womens-soccer
Truman St.,603075,
Tusculum,602956,https://www.tusculumpioneers.com/sports/wsoc/index
UAH,603015,
UC Merced,603161,
UCCS,602950,
UIndy,603048,https://athletics.uindy.edu/sports/womens-soccer
UNC Pembroke,603079,
USC Aiken,602951,https://pacersports.com/sports/womens-soccer
USC Beaufort,603153,
UT Permian Basin,602979,
UT Tyler,603009,https://uttylerpatriots.com/sports/womens-soccer
Union (TN),602990,https://uuathletics.com/sports/womens-soccer
Upper Iowa,603098,https://uiupeacocks.com/sports/womens-soccer
Ursuline,603068,
Valdosta St.,603099,
Vanguard,603164,https://vanguardlions.com/sports/womens-soccer
Virginia St.,603154,
Walsh,603069,https://athletics.walsh.edu/sports/womens-soccer
Washburn,602933,
Wayne St. (NE),603144,
West Ala.,603053,
West Chester,603100,https://wcupagoldenrams.com/sports/womens-soccer
West Florida,603167,https://goargos.com/sports/womens-soccer
West Liberty,603145,https://hilltoppersports.com/sports/womens-soccer
West Tex. A&M,603101,
West Va. Wesleyan,602948,https://wesleyanbobcats.com/sports/womens-soccer
West Virginia St.,603168,
Western Colo.,602932,
Western Ore.,603146,https://wouwolves.com/sports/womens-soccer
Western Wash.,603147,
Westminster (UT),603003,https://westminstergriffins.com/sports/womens-soccer
Westmont,603157,https://athletics.westmont.edu/sports/womens-soccer
Wheeling,602954,https://wucardinals.com/sports/womens-soccer
William Jewell,602984,https://jewellcardinals.com/sports/womens-soccer
Wilmington (DE),603148,https://wildcats.athletics.wilmu.edu/sports/wsoc/index
Wingate,603149,https://wingatebulldogs.com/sports/womens-soccer
Winona St.,603102,
Wis.-Parkside,603103,
Young Harris,602991,https://yhcathletics.com/sports/womens-soccer
