team,url,ncaa_id,stats_name,division
Cal Poly Humboldt,https://humboldtathletics.com/sports/mens-soccer,588028,Humboldt St.,II
Cal Poly Pomona,https://broncoathletics.com/sports/mens-soccer,588007,Cal Poly Pomona,II
Cal St. Dom. Hills,https://gotoros.com/sports/mens-soccer,92,,II
Cal St. East Bay,https://eastbaypioneers.com/sports/mens-soccer,98,,II
Cal St. Monterey Bay,https://otterathletics.com/sports/mens-soccer,30055,Cal St. Monterey Bay,II
Cal St. San Bernardino,https://www.csusbathletics.com/sports/mens-soccer,93,,II
Cal St. San Marcos,https://csusmcougars.com/sports/mens-soccer,30198,Cal St. San Marcos,II
Cal State Bakersfield,https://gorunners.com/sports/mens-soccer,94,CSU Bakersfield,I
Cal State Fullerton,https://fullertontitans.com/sports/mens-soccer,97,Cal St. Fullerton,I
Cal State LA,https://lagoldeneagles.com/sports/mens-soccer,100,Cal State LA,II
Cal U (PA),https://calvulcans.com/sports/mens-soccer,106,Cal U (PA),II
Caldwell,https://caldwellathletics.com/sports/mens-soccer,995,Caldwell,II
California,https://calbears.com/sports/mens-soccer,107,California,I
California Baptist,https://cbulancers.com/sports/mens-soccer,30135,California Baptist,I
Caltech,https://gocaltech.com/sports/mens-soccer,89,,III
Calvin,https://calvinknights.com/sports/mens-soccer,114,,III
Campbell,https://gocamels.com/sports/mens-soccer,115,Campbell,I
Canisius,https://gogriffs.com/sports/mens-soccer,116,Canisius,I
Capital,https://athletics.capital.edu/sports/mens-soccer,117,,III
Carleton,https://athletics.carleton.edu/sports/mens-soccer,118,Carleton,III
Carlow,https://athletics.carlow.edu/sports/msoc/index,,,III
Carnegie Mellon,https://athletics.cmu.edu/sports/msoc/index,,,III
Carroll (WI),https://gopios.com/sports/mens-soccer,,,III
Carson-Newman,https://www.cneagles.com/sports/m-soccer/index,588073,,II
Carthage,https://athletics.carthage.edu/sports/mens-soccer,121,Carthage,III
Catawba,https://www.catawbaathletics.com/sports/msoc/index,588074,,II
Catholic,https://catholicathletics.com/sports/mens-soccer,124,,III
CCNY,https://ccnyathletics.com/sports/mens-soccer,480,Ccny,III
Cedarville,https://yellowjackets.cedarville.edu/sports/mens-soccer,30124,Cedarville,II
Centenary (LA),https://www.gocentenary.com/sports/msoc/index,,,III
Centenary (NJ),https://centenarycyclones.com/sports/mens-soccer,12884,,III
Central (IA),https://athletics.central.edu/sports/mens-soccer,,,III
Central Arkansas,https://ucasports.com/sports/mens-soccer,,Central Ark.,I
Central Connecticut State,https://ccsubluedevils.com/sports/msoc/index,,Central Conn. St.,I
Central Florida,https://ucfknights.com/sports/mens-soccer,128,Ucf,I
Centre,https://centrecolonels.com/sports/mens-soccer,132,Centre,III
Chaminade,https://goswords.com/sports/mens-soccer,,,II
Chapman,https://athletics.chapman.edu/sports/mens-soccer,,,III
Charleston (WV),https://ucgoldeneagles.com/sports/mens-soccer,1013,Charleston (WV),II
Charlotte,https://charlotte49ers.com/sports/mens-soccer,458,Charlotte,I
Chatham,https://gochathamcougars.com/sports/mens-soccer,10972,Chatham,III
Chestnut Hill,https://griffinathletics.com/sports/mens-soccer,21323,Chestnut Hill,II
Chicago State,https://www.gocsucougars.com/sports/mens-soccer,136,Chicago St.,I
Chico St.,https://chicowildcats.com/sports/mens-soccer,,,II
Chowan,https://gocuhawks.com/sports/mens-soccer,8875,,II
Chris. Newport,https://www.cnusports.com/sports/mens-soccer,139,Chris. Newport,III
Christian Brothers,https://cbubucs.com/sports/mens-soccer,1015,Christian Brothers,II
Claremont-M-S,https://www.cmsathletics.org/sports/mens-soccer,142,Claremont-M-S,III
Clark (MA),https://clarkathletics.com/sports/mens-soccer,145,,III
Clarkson,https://clarksonathletics.com/sports/mens-soccer,146,,III
Clayton St.,https://claytonstatesports.com/sports/msoc/index,,II
Clemson,https://clemsontigers.com/sports/mens-soccer/,147,Clemson,I
Cleveland State,https://csuvikings.com/sports/mens-soccer,148,,I
Coast Guard,https://coastguardathletics.com/sports/mens-soccer,722,,III
Coastal Carolina,https://goccusports.com/sports/mens-soccer,,Coastal Carolina,I
Coe,https://kohawkathletics.com/sports/mens-soccer,150,,III
Coker,https://www.cokercobras.com/sports/msoc/index,,,II
Colby,https://colbyathletics.com/sports/mens-soccer,151,,III
Colby-Sawyer,https://www.colby-sawyerathletics.com/sports/mens-soccer,,,III
Colgate,https://colgateathletics.com/sports/mens-soccer,153,Colgate,I
College of Charleston,https://cofcsports.com/sports/mens-soccer,1014,Col. of Charleston,I
Colo. Christian,https://ccucougars.com/sports/mens-soccer,11403,,II
Colo. Sch. of Mines,https://minesathletics.com/sports/mens-soccer,,,II
Colorado Col.,https://cctigers.com/sports/mens-soccer,154,,III
Colorado Mesa,https://cmumavericks.com/sports/mens-soccer,,,II
Colorado St.-Pueblo,https://gothunderwolves.com/sports/mens-soccer,2720,Colorado St.-Pueblo,II
Columbia,https://gocolumbialions.com/sports/mens-soccer,158,Columbia,I
Concord,https://cumountainlions.com/sports/mens-soccer,1028,Concord,II
Concordia (CA),https://cuieagles.com/sports/mens-soccer,30199,CUI,II
Concordia (TX),https://athletics.concordia.edu/sports/mens-soccer,24400,Concordia (TX),III
Concordia Chicago,https://www.cucougars.com/sports/mens-soccer,160,Concordia Chicago,III
Concordia Wisconsin,https://www.cuwfalcons.com/sports/msoc/index,,,III
Concordia-Moorhead,https://gocobbers.com/sports/msoc/index,,,III
Connecticut Col.,https://camelathletics.com/sports/mens-soccer,163,Connecticut Col.,III
Converse,https://govalkyries.com/sports/mens-soccer,,,II
Cornell,https://cornellbigred.com/sports/mens-soccer,167,Cornell,I
Cornell College,https://cornellrams.com/sports/mens-soccer,166,,III
Cortland,https://www.cortlandreddragons.com/sports/mens-soccer,,,III
Covenant,https://athletics.covenant.edu/sports/mens-soccer,30111,,III
Creighton,https://gocreighton.com/sports/mens-soccer,169,Creighton,I
Crown (MN),https://athletics.crown.edu/sports/mens-soccer,30035,Crown (MN),III
CSUN,https://gomatadors.com/sports/mens-soccer,101,Csun,I
CWRU,https://athletics.case.edu/sports/mens-soccer,122,,III
D'Youville,https://dyusaints.com/sports/mens-soccer,1059,D'Youville,II
Daemen,https://daemenwildcats.com/sports/mens-soccer,30174,,II
Dallas,https://www.udallasathletics.com/sports/msoc/index,,,III
Dallas Baptist,https://dbupatriots.com/sports/mens-soccer,,,II
Dartmouth,https://dartmouthsports.com/sports/mens-soccer,172,Dartmouth,I
Davenport,https://dupanthers.com/sports/mens-soccer,,,II
Davidson,https://davidsonwildcats.com/sports/mens-soccer,173,Davidson,I
Davis & Elkins,https://senatornation.com/sports/mens-soccer,174,Davis & Elkins,II
Dayton,https://daytonflyers.com/sports/mens-soccer,175,Dayton,I
Dean,https://deanbulldogs.com/sports/mens-soccer,30219,,III
Delaware,https://bluehens.com/sports/mens-soccer,180,Delaware,I
Delaware Valley,https://athletics.delval.edu/sports/mens-soccer,179,,III
Delta St.,https://gostatesmen.com/sports/mens-soccer,181,Delta St.,II
Denison,https://denisonbigred.com/sports/mens-soccer,182,Denison,III
Denver,https://denverpioneers.com/sports/mens-soccer,183,Denver,I
DePaul,https://depaulbluedemons.com/sports/mens-soccer,176,DePaul,I
DePauw,https://depauwtigers.com/sports/mens-soccer/,177,,III
DeSales,https://athletics.desales.edu/sports/mens-soccer,20,DeSales,III
Detroit Mercy,https://detroittitans.com/sports/mens-soccer,184,Detroit Mercy,I
Dickinson,https://dickinsonathletics.com/sports/mens-soccer,185,,III
Dist. Columbia,https://www.udcfirebirds.com/sports/msoc/index,,Dist. Columbia,II
Dominican (CA),https://dominicanathletics.com/sports/mens-soccer,,Dominican (CA),II
Dominican (IL),https://dustars.com/sports/mens-soccer,,,III
Dominican (NY),https://www.chargerathletics.com/sports/msoc/index,,Dominican (NY),II
Drake,https://godrakebulldogs.com/sports/mens-soccer/,189,Drake,I
Drew,https://drewrangers.com/sports/mens-soccer,190,Drew,III
Drexel,https://drexeldragons.com/sports/mens-soccer,191,Drexel,I
Drury,https://drurypanthers.com/sports/mens-soccer,,Drury,II
Dubuque,https://udspartans.com/sports/mens-soccer,192,,III
Duke,https://goduke.com/sports/mens-soccer,193,Duke,I
Duquesne,https://goduquesne.com/sports/mens-soccer,194,Duquesne,I
Earlham,https://goearlham.com/sports/mens-soccer,195,Earlham,III
East Stroudsburg,https://esuwarriors.com/sports/mens-soccer,197,East Stroudsburg,II
East Tennessee State,https://etsubucs.com/sports/mens-soccer,198,Etsu,I
East Tex. Baptist,https://goetbutigers.com/sports/mens-soccer,1062,East Tex. Baptist,III
East. Mennonite,https://emuroyals.com/sports/mens-soccer,203,,III
Eastern,https://goeasterneagles.com/sports/mens-soccer,,,III
Eastern Conn. St.,https://gowarriorathletics.com/sports/mens-soccer,200,,III
Eastern Illinois,https://eiupanthers.com/sports/mens-soccer,201,Eastern Ill.,I
Eastern N.M.,https://goeasternathletics.com/sports/mens-soccer,206,Eastern N.M.,II
Eckerd,https://eckerdtritons.com/sports/mens-soccer,208,Eckerd,II
Edgewood,https://edgewoodcollegeeagles.com/sports/mens-soccer,1066,Edgewood,III
Elizabethtown,https://etownbluejays.com/sports/mens-soccer,211,Elizabethtown,III
Elmhurst,https://elmhurstbluejays.com/sports/mens-soccer,212,Elmhurst,III
Elmira,https://athletics.elmira.edu/sports/mens-soccer,213,,III
Elms,https://www.ecblazers.com/sports/msoc/index,,,III
Elon,https://elonphoenix.com/sports/mens-soccer,1068,Elon,I
Embry-Riddle (FL),https://erauathletics.com/sports/mens-soccer,9680,,II
Emerson,https://emersonlions.com/sports/mens-soccer,214,,III
Emmanuel (GA),https://goeulions.com/sports/mens-soccer,,Emmanuel (GA),II
Emmanuel (MA),https://www.goecsaints.com/sports/mens-soccer,215,,III
Emory,https://emoryathletics.com/sports/mens-soccer,217,,III
Emory & Henry,https://www.gowasps.com/sports/msoc/index,,Emory & Henry,II
Endicott,https://www.ecgulls.com/sports/msoc/index,,,III
Erskine,https://erskinesports.com/sports/mens-soccer,1072,Erskine,II
Eureka,https://www.eurekareddevils.com/sports/msoc/index,,,III
Evansville,https://gopurpleaces.com/sports/mens-soccer,219,Evansville,I
Fairfield,https://fairfieldstags.com/sports/mens-soccer,220,Fairfield,I
Fairleigh Dickinson,https://fduknights.com/sports/mens-soccer,222,FDU,I
Farmingdale St.,https://farmingdalesports.com/sports/mens-soccer,27892,,III
FDU-Florham,https://fdudevils.com/sports/mens-soccer,221,FDU-Florham,III
Felician,https://felicianuathletics.com/sports/mens-soccer,23157,,II
Ferrum,https://ferrumpanthers.com/sports/mens-soccer,225,,III
Findlay,https://findlayoilers.com/sports/mens-soccer,1079,,II
Fitchburg State,https://www.fitchburgfalcons.com/sports/msoc/index,,,III
FIU,https://fiusports.com/sports/mens-soccer,231,Fiu,I
Fla. Southern,https://fscmocs.com/sports/mens-soccer,233,Fla. Southern,II
Flagler,https://flaglerathletics.com/sports/mens-soccer,30092,Flagler,II
Florida Atlantic,https://fausports.com/sports/mens-soccer,,Fla. Atlantic,I
Florida Gulf Coast,https://fgcuathletics.com/sports/mens-soccer,28755,Fgcu,I
Florida Tech,https://floridatechsports.com/sports/mens-soccer,230,Florida Tech,II
Fontbonne,https://www.fontbonnegriffins.com/sports/msoc/index,,,III
Fordham,https://fordhamsports.com/sports/mens-soccer,236,Fordham,I
Fort Hays St.,https://fhsuathletics.com/sports/mens-soccer,9011,Fort Hays St.,II
Fort Lewis,https://goskyhawks.com/sports/mens-soccer,1083,Fort Lewis,II
Framingham State,https://www.fsurams.com/sports/msoc/index,,,III
Francis Marion,https://fmupatriots.com/sports/mens-soccer/,1085,,II
Franciscan,https://franciscanathletics.com/sports/mens-soccer,30069,Franciscan,III
Franklin,https://franklingrizzlies.com/sports/mens-soccer,2694,,III
Franklin & Marshall,https://godiplomats.com/sports/mens-soccer,239,,III
Franklin Pierce,https://www.fpuravens.com/sports/msoc/index,,Franklin Pierce,II
Fredonia,https://fredoniabluedevils.com/sports/mens-soccer,242,,III
Fresno Pacific,https://www.fpuathletics.com/sports/mens-soccer,30147,Fresno Pacific,II
Frostburg St.,https://frostburgsports.com/sports/mens-soccer,243,Frostburg St.,II
Furman,https://furmanpaladins.com/sports/mens-soccer,244,Furman,I
Ga. Southwestern,https://www.gswcanes.com/sports/msoc/index,,Ga. Southwestern,II
Gallaudet,https://gallaudetbison.com/sports/mens-soccer,,,III
Gannon,https://gannonsports.com/sports/mens-soccer,246,Gannon,II
Gardner-Webb,https://gwusports.com/sports/mens-soccer,1092,Gardner-Webb,I
Geneva,https://athletics.geneva.edu/sports/mens-soccer,30084,Geneva,III
George Fox,https://athletics.georgefox.edu/sports/mens-soccer,1094,,III
George Mason,https://gomason.com/sports/mens-soccer,248,George Mason,I
George Washington,https://gwsports.com/sports/mens-soccer,249,George Washington,I
Georgetown,https://guhoyas.com/sports/mens-soccer,251,Georgetown,I
Georgia Southern,https://gseagles.com/sports/mens-soccer,253,Ga. Southern,I
Georgia State,https://georgiastatesports.com/sports/mens-soccer,254,Georgia State,I
Georgian Court,https://gculions.com/sports/mens-soccer,9004,Georgian Court,II
Gettysburg,https://gettysburgsports.com/sports/mens-soccer,258,,III
Goldey-Beacom,https://www.gbcathletics.com/sports/mens-soccer,,Goldey-Beacom,II
Gonzaga,https://gozags.com/sports/mens-soccer,260,Gonzaga,I
Gordon,https://athletics.gordon.edu/sports/mens-soccer,,,III
Goucher,https://athletics.goucher.edu/sports/msoc/index,,,III
Grand Canyon,https://gculopes.com/sports/mens-soccer,1104,Grand Canyon,I
Green Bay,https://greenbayphoenix.com/sports/mens-soccer,794,Green Bay,I
Greensboro,https://greensborocollegesports.com/sports/mens-soccer,,,III
Greenville,https://athletics.greenville.edu/sports/msoc/index,,,III
Grinnell,https://pioneers.grinnell.edu/sports/mens-soccer,,,III
Grove City,https://athletics.gcc.edu/sports/mens-soccer,265,Grove City,III
Guilford,https://guilfordquakers.com/sports/mens-soccer,1112,,III
Gustavus Adolphus,https://gogusties.com/sports/mens-soccer,266,,III
Gwynedd Mercy,https://gwyneddathletics.com/sports/mens-soccer,,,III
Hamilton,https://athletics.hamilton.edu/sports/mens-soccer,267,Hamilton College,III
Hamline,https://hamlineathletics.com/sports/mens-soccer,268,Hamline University,III
Hampden-Sydney,https://hscathletics.com/sports/mens-soccer,,,III
Hanover,https://athletics.hanover.edu/sports/msoc/index,1115,Hanover,III
Hardin-Simmons,https://hsuathletics.com/sports/mens-soccer,271,,III
Harding,https://hardingsports.com/sports/mens-soccer,1116,Harding,II
