team,url,ncaa_id,stats_name,division
Austin,https://acroos.com/sports/msoc/index,,,III
Baldwin Wallace,https://www.bwyellowjackets.com/sports/msoc/index,46,,III
Bentley,https://www.bentleyfalcons.com/sports/msoc/index,56,,II
